100,80,33,GEK1005M2ME30,30,0.8,76,1.6,68,2.50,51.5,,,,,,,,0.22,50,GE-2M
100,80,34,GEK1005M2ME37,37,0.8,89,1.6,79,2.50,64.5,,,,,,,,0.098,50,GE-2M
100,80,35,GEK1005M2ME45,45,0.8,99,1.6,91,2.50,77.0,,,,,,,,0,50,GE-2M
40,32,1,GEH-40X326M-2MN0.4,0.4,0.06,12.8,0.16,9.5,0.25,4.2,,,,,,,,0.84,60,GE-2M
40,32,2,GEH406M2ME0.75,0.75,0.06,20,0.16,16.5,0.25,10.5,,,,,,,,0.77,60,GE-2M
40,32,3,GEI406M2ME1.5,1.5,0.06,29,0.16,26,0.25,21.5,,,,,,,,0.68,60,GE-2M
40,32,4,GEJ406M2ME2.2,2.2,0.06,39,0.16,33.5,0.25,24,,,,,,,,0.58,60,GE-2M
40,32,5,GEJ406M2ME3.7,3.7,0.06,55.5,0.16,51,0.25,42.5,,,,,,,,0.4,60,GE-2M
50,40,6,GEH506M2ME0.75,0.75,0.12,16.2,0.25,13,0.4,6.2,,,,,,,,0.8,60,GE-2M
50,40,7,GEH506M2ME1.5,1.5,0.12,23.5,0.25,21,0.4,15.2,,,,,,,,0.74,60,GE-2M
50,40,8,GEI506M2ME2.2,2.2,0.12,31,0.25,27.8,0.4,21.8,,,,,,,,0.67,60,GE-2M
50,40,9,GEJ506M2ME3.7,3.7,0.12,44,0.25,41,0.4,34.5,,,,,,,,0.54,60,GE-2M
50,40,10,GEJ506M2ME5.5,5.5,0.12,50.5,0.25,47,0.4,41.5,,,,,,,,0.47,60,GE-2M
50,40,11,GEK506M2ME5.5,5.5,0.12,57.5,0.25,52.5,0.4,41.5,,,,,,,,0.39,60,GE-2M
50,40,12,GEK506M2ME7.5,7.5,0.12,69,0.25,63,0.4,53.5,,,,,,,,0.25,60,GE-2M
50,40,13,GEK506M2ME11,11,0.12,86,0.25,80,0.4,72,,,,,,,,0.098,60,GE-2M
65,50,14,GEH656M2ME1.5,1.5,0.25,15.2,0.5,12.5,0.8,7.2,,,,,,,,0.82,60,GE-2M
65,50,15,GEH656M2ME2.2,2.2,0.25,21.2,0.5,18.2,0.8,12.2,,,,,,,,0.76,60,GE-2M
65,50,16,GEI656M2ME3.7,3.7,0.25,32,0.5,27.5,0.8,18.8,,,,,,,,0.66,60,GE-2M
65,50,17,GEJ656M2ME5.5,5.5,0.25,42,0.5,36,0.8,22,,,,,,,,0.54,60,GE-2M
65,50,18,GEJ656M2ME7.5,7.5,0.25,53.5,0.5,47.5,0.8,34,,,,,,,,0.43,60,GE-2M
65,50,19,GEK656M2ME11,11,0.25,70,0.5,64.5,0.8,53,,,,,,,,0.26,60,GE-2M
65,50,20,GEK656M2ME15,15,0.25,84,0.5,79,0.8,68,,,,,,,,0.13,60,GE-2M
65,50,21,GEL656M2ME18,18.5,0.25,96,0.5,86,0.8,68,,,,,,,,0,60,GE-2M
80,65,22,GEH806M2ME3.7,3.7,0.5,22,1,17,1.6,7,,,,,,,,0.74,60,GE-2M
80,65,23,GEI806M2ME5.5,5.5,0.5,29.5,1,23,1.6,10.5,,,,,,,,0.66,60,GE-2M
80,65,24,GEI806M2ME7.5,7.5,0.5,35,1,29,1.6,18,,,,,,,,0.61,60,GE-2M
80,65,25,GEJ806M2ME11,11,0.5,47,1,41,1.6,30.5,,,,,,,,0.5,60,GE-2M
80,65,26,GEJ806M2ME15,15,0.5,60,1,53.5,1.6,42,,,,,,,,0.36,60,GE-2M
80,65,27,GEK806M2ME18,18.5,0.5,72,1,64,1.6,47.5,,,,,,,,0.25,60,GE-2M
80,65,28,GEK806M2ME22,22,0.5,81,1,73,1.6,59,,,,,,,,0.15,60,GE-2M
80,65,29,GEL806M2ME30,30,0.5,101,1,92,1.6,71,,,,,,,,0,60,GE-2M
100,80,30,GEI1006M2ME11,11,1,34,2,24.5,3.15,8.5,,,,,,,,0.62,60,GE-2M
100,80,31,GEI1006M2ME15,15,1,41,2,33.5,3.15,17.5,,,,,,,,0.54,60,GE-2M
100,80,32,GEJ1006M2ME18,18.5,1,48.5,2,39.5,3.15,24.5,,,,,,,,0.46,60,GE-2M
100,80,33,GEJ1006M2ME22,22,1,55.5,2,46,3.15,29.5,,,,,,,,0.39,60,GE-2M
